Profit,Margin,Sales,COGS,Total Expenses,Marketing,Inventory,Budget Profit,Budget COGS,Budget Margin,Budget Sales,Area Code,ProductId,Date
94,130,219,89,36,24,777,100,90,130,220,719,1,"01/01/12 00:00:00"
68,107,190,83,39,27,623,80,80,110,190,970,2,"01/01/12 00:00:00"
101,139,234,95,38,26,821,110,100,140,240,970,3,"01/01/12 00:00:00"
30,56,100,44,26,14,623,30,30,50,80,303,13,"01/01/12 00:00:00"
54,80,134,54,26,15,456,70,60,90,150,303,5,"01/01/12 00:00:00"
53,108,180,72,55,23,558,80,80,130,210,720,6,"01/01/12 00:00:00"
99,171,341,170,72,47,1091,110,140,160,300,970,8,"01/01/12 00:00:00"
0,87,150,63,87,57,435,20,50,80,130,719,9,"01/01/12 00:00:00"
33,80,140,60,47,19,336,40,50,70,120,970,10,"01/01/12 00:00:00"
17,72,130,58,55,22,338,20,40,70,110,719,11,"01/01/12 00:00:00"
36,76,140,64,40,19,965,40,50,70,120,303,12,"01/01/12 00:00:00"
111,201,345,144,90,47,862,130,150,210,360,217,2,"01/01/12 00:00:00"
87,139,234,95,52,30,608,100,100,140,240,309,3,"01/01/12 00:00:00"
203,312,546,234,109,77,1310,260,270,370,640,309,5,"01/01/12 00:00:00"
140,228,456,228,88,63,1459,180,260,270,530,630,6,"01/01/12 00:00:00"
95,130,219,89,35,24,777,100,70,120,190,312,8,"01/01/12 00:00:00"
68,107,190,83,39,27,623,60,70,90,160,630,9,"01/01/12 00:00:00"
101,139,234,95,38,26,821,100,80,120,200,773,10,"01/01/12 00:00:00"
53,80,134,54,27,15,456,50,40,70,110,217,11,"01/01/12 00:00:00"
54,108,180,72,54,23,558,40,60,90,150,708,12,"01/01/12 00:00:00"
11,27,45,18,16,5,821,20,10,30,40,319,1,"01/01/12 00:00:00"
5,34,62,28,29,8,965,20,20,40,60,641,2,"01/01/12 00:00:00"
12,31,54,23,19,7,623,20,20,30,50,712,3,"01/01/12 00:00:00"
11,26,43,17,15,4,777,30,10,40,50,563,5,"01/01/12 00:00:00"
10,26,43,17,16,4,777,30,10,40,50,563,6,"01/01/12 00:00:00"
202,312,546,234,110,77,1310,200,200,280,480,641,8,"01/01/12 00:00:00"
86,139,234,95,53,30,608,90,80,120,200,563,9,"01/01/12 00:00:00"
141,228,456,228,87,63,1459,140,190,210,400,712,11,"01/01/12 00:00:00"
175,301,546,245,126,93,1419,160,210,270,480,319,12,"01/01/12 00:00:00"
39,105,190,85,66,32,494,40,90,100,190,636,2,"01/01/12 00:00:00"
47,92,170,78,45,24,965,50,80,90,170,573,3,"01/01/12 00:00:00"
-4,42,76,34,46,12,197,0,20,40,60,417,13,"01/01/12 00:00:00"
48,73,123,50,25,14,821,70,50,90,140,573,5,"01/01/12 00:00:00"
45,68,114,46,23,12,777,60,50,80,130,660,6,"01/01/12 00:00:00"
-11,53,90,37,64,34,261,0,30,40,70,573,8,"01/01/12 00:00:00"
-39,11,99,88,50,27,525,-20,70,10,80,314,9,"01/01/12 00:00:00"
9,47,82,35,38,11,196,10,30,40,70,314,11,"01/01/12 00:00:00"
-9,36,65,29,45,11,169,-10,20,30,50,573,12,"01/01/12 00:00:00"
34,80,140,60,46,19,336,50,60,80,140,740,1,"01/01/12 00:00:00"
42,83,140,57,41,18,364,50,60,80,140,614,2,"01/01/12 00:00:00"
0,87,150,63,87,57,435,20,60,90,150,614,3,"01/01/12 00:00:00"
67,116,200,84,49,26,500,60,70,100,170,216,12,"01/01/12 00:00:00"
16,72,130,58,56,22,338,40,60,90,150,614,6,"01/01/12 00:00:00"
99,171,341,170,72,47,1091,140,190,210,400,614,5,"01/01/12 00:00:00"
29,48,80,32,19,8,456,50,20,50,70,937,8,"01/01/12 00:00:00"
29,48,80,32,19,8,821,50,20,50,70,740,9,"01/01/12 00:00:00"
68,126,210,84,58,27,651,60,70,110,180,567,11,"01/01/12 00:00:00"
13,66,120,54,53,20,312,30,50,70,120,262,1,"01/01/12 00:00:00"
9,111,190,79,102,72,551,20,80,110,190,262,2,"01/01/12 00:00:00"
51,103,180,77,52,25,432,60,80,100,180,414,3,"01/01/12 00:00:00"
7,105,180,75,98,68,522,10,60,90,150,262,12,"01/01/12 00:00:00"
34,62,110,48,28,15,623,50,50,70,120,262,6,"01/01/12 00:00:00"
38,81,150,69,43,21,965,50,80,90,170,414,5,"01/01/12 00:00:00"
70,113,180,67,43,20,400,80,50,100,150,715,8,"01/01/12 00:00:00"
28,48,81,33,20,9,777,50,20,50,70,715,9,"01/01/12 00:00:00"
