Product Line,Product Type,Product,ProductId,Type
"Beans","Coffee","Amaretto",1,"Regular"
"Beans","Coffee","Colombian",2,"Regular"
"Beans","Coffee","Decaf Irish Cream",3,"Decaf"
"Beans","Espresso","Caffe Latte",4,"Regular"
"Beans","Espresso","Caffe Mocha",5,"Regular"
"Beans","Espresso","Decaf Espresso",6,"Decaf"
"Beans","Espresso","Regular Espresso",7,"Regular"
"Leaves","Herbal Tea","Chamomile",8,"Decaf"
"Leaves","Herbal Tea","Lemon",9,"Decaf"
"Leaves","Herbal Tea","Mint",10,"Decaf"
"Leaves","Tea","Darjeeling",11,"Regular"
"Leaves","Tea","Earl Grey",12,"Regular"
"Leaves","Tea","Green Tea",13,"Regular"
